Key,Source,Context,Changes,English,French,German,Klingon,Spanish,Polish
chairbasicdesc,vehicles,vehicle,EnChanged,"Place in the world Using Right Click \nPress E to sit in it \nPress Horn key (X) to play sound","Appuyer sur Clic Droit pour placer \nAppuyer sur E pour s'asseoir \nAppuye sur la touche klaxon (X) pour jouer un son",,,,
chairactivedesc,vehicles,vehicle,EnChanged,"Place in the world Using Right Click \nPress E to sit in it \nPress Horn key (X) to play sound  \nPress Headlight key (F) to turn on","Appuyer sur Clic Droit pour placer \nAppuyer sur E pour s'asseoir \nAppuyer sur la touche klaxon (X) pour jouer un son \nAppuye sur la touche phares (F) pour allumer",,,,
chairwesterndesc,vehicles,vehicle,EnChanged,"Place in the world Using Right Click \nPress E to sit in it \nPress Horn key (X) to play sound  \nPress Space to swing","Appuyer sur Clic Droit pour placer \nAppuyer sur E pour s'asseoir \nAppuyer sur la touche klaxon (X) pour jouer un son \nAppuye sur espace pour vous balancer",,,,
chairbeddesc,vehicles,vehicle,EnChanged,"Place in the world Using Right Click \nPress E to sit in it \nPress Horn key (X) to play sound  \nGrants you rested buff after a long nap","Appuyer sur Clic Droit pour placer \nAppuyer sur E pour s'asseoir \nAppuyer sur la touche klaxon (X) pour jouer un son \nObtenez un buff après un bon somme",,,,
chairbedstructuredesc,blocks,Block,EnChanged,"Place a Bed above it to get a rested buff when sleeping\nRight click with a repair tool to set as active spawn point \nPress E to pick it up","Posez un lit par dessus pour obtenir un buff en dormant\nClic droit avec un outil de réparation pour rendre le spawn actif \nAppuyer sur E pour ramasser",,,,
toiletbasicdesc,vehicles,vehicle,EnChanged,"Place in the world Using Right Click \nPress E to sit in it \nPress Horn key (X) to make the magic happen  \nCan cure dystentery if you're patient enough","Appuyer sur Clic Droit pour placer \nAppuyer sur E pour s'asseoir \nAppuyer sur la touche klaxon (X) pour ouvrir les vannes \nUn bon remède contre la dysenterie",,,,
carouseldesc,vehicles,vehicle,EnChanged,"Place in the world Using Right Click \nPress E to sit in it \nPress Horn key (X) to play sound  \nPress Left and Right (A-D) to spin","Appuyer sur Clic Droit pour placer \nAppuyer sur E pour s'asseoir \nAppuyer sur la touche klaxon (X) pour jouer un son \nAppuye sur Droite et Gauche  (Q-D) pour tourner",,,,

"Sleeping",buffs,Buff,EnChanged,"Sleeping","Endormi",,,,
"Rested",buffs,Buff,EnChanged,"Rested","Reposé",,,,
"Sleepdesc",buffs,Buff,EnChanged,"Rested","Reposé",,,,
"Toilet",buffs,Buff,EnChanged,"Toilet","Toilettes",,,,
"Rest",buffs,Buff,EnChanged,"Rest","Repos",,,,


"Sleep well my friend.                                     Regenerates Health slowly                             Grants you Rested Buff after a while.           You might be hungry when you wake up.",buffs,Buff,EnChanged,"Sleep well my friend. \nRegenerates Health slowly \nGrants you Rested Buff after a while. \nYou might be hungry when you wake up.","Bonne nuit mon ami \nRégénère la vie lentement \nObtenez le buff reposé après 20s \nTout cela vous donne faim",,,,
"Sleeping isn't overrated.                             Your stamina is on fire ! ",buffs,Buff,EnChanged,"Sleeping isn't overrated. \nYour stamina is on fire ! ","Ça fait du bien de dormir. \n Vous pétez le feu !",,,,
"You feel relaxed...",buffs,Buff,EnChanged,"You feel relaxed...","Vous êtes détendu...",,,,
"You got a great day ahead of you!",buffs,Buff,EnChanged,"You got a great day ahead of you!","Une nouvelle journée commence!",,,,
"Makes you thirsty.                                     Removes dysentery after a while.",buffs,Buff,EnChanged,"Makes you thirsty. \nRemoves dysentery after a while.","Peut vous donner soif. \nSupprime la dysenterie au bout d'un certain temps",,,,
"I wish I had a phone right now..",buffs,Buff,EnChanged,"I wish I had a phone right now..","Un téléphone ça serait pas de refus",,,,
"You are resting.",buffs,Buff,EnChanged,"You are resting.","Vous vous reposez.",,,,
"That's comfy.",buffs,Buff,EnChanged,"That's comfy.","C'est confortable.",,,,


