Key,Source,Context,Changes,English,French,German,Klingon,Spanish,Polish
foodCanPearsFrozen,items,Food,newKey,"Frozen Can of Pears",,,,,
foodCanSoupFrozen,items,Food,newKey,"Frozen Chicken Soup",,,,,
foodCanStockFrozen,items,Food,newKey,"Frozen Can of Stock",,,,,
foodCornOnTheCobFrozen,items,Food,newKey,"Frozen Corn on the Cob",,,,,
foodCornBreadFrozen,items,Food,newKey,"Frozen Corn Bread",,,,,
foodMoldyBreadFrozen,items,Food,newKey,"Frozen Moldy Bread",,,,,
foodShamSandwichFrozen,items,Food,newKey,"Frozen Old Sham Sandwich",,,,,
foodCharredMeatFrozen,items,Food,newKey,"Frozen Charred Meat",,,,,
foodGrilledMeatFrozen,items,Food,newKey,"Frozen Grilled Meat",,,,,
foodBoiledMeatFrozen,items,Food,newKey,"Frozen Boiled Meat",,,,,
foodMeatStewFrozen,items,Food,newKey,"Frozen Meat Stew",,,,,
foodSteakAndPotatoFrozen,items,Food,newKey,"Frozen Steak and Potato Meal",,,,,
foodShamChowderFrozen,items,Food,newKey,"Frozen Sham Chowder",,,,,
foodHoboStewFrozen,items,Food,newKey,"Frozen Hobo Stew",,,,,
foodFishTacosFrozen,items,Food,newKey,"Frozen Fish Tacos",,,,,
foodChiliDogFrozen,items,Food,newKey,"Frozen Chili Dog",,,,,
foodBakedPotatoFrozen,items,Food,newKey,"Frozen Baked Potato",,,,,
foodBlueberryPieFrozen,items,Food,newKey,"Frozen Blueberry Pie",,,,,
foodPumpkinPieFrozen,items,Food,newKey,"Frozen Pumpkin Pie",,,,,
foodPumpkinCheesecakeFrozen,items,Food,newKey,"Frozen Pumpkin Cheesecake",,,,,
foodPumpkinBreadFrozen,items,Food,newKey,"Frozen Pumpkin Bread",,,,,
foodEggBoiledFrozen,items,Food,newKey,"Frozen Boiled Egg",,,,,
foodBaconAndEggsFrozen,items,Food,newKey,"Frozen Bacon and Eggs",,,,,
foodVegetableStewFrozen,items,Food,newKey,"Frozen Vegetable Stew",,,,,
foodRawMeatFrozen,items,Food,newKey,"Frozen Raw Meat",,,,,
foodRottingFleshFrozen,items,Food,newKey,"Frozen Rotting Flesh",,,,,
foodEggFrozen,items,Food,newKey,"Frozen Egg",,,,,
foodCornMealFrozen,items,Food,newKey,"Frozen Cornmeal",,,,,
foodCropBlueberriesFrozen,items,Food,newKey,"Frozen Blueberries",,,,,
foodCropCornFrozen,items,Food,newKey,"Frozen Ear of Corn",,,,,
foodCropGraceCornFrozen,items,Food,newKey,"Frozen Ear of Super Corn",,,,,
foodCropPotatoFrozen,items,Food,newKey,"Frozen Potato",,,,,
foodCropMushroomsFrozen,items,Food,newKey,"Frozen Mushrooms",,,,,
foodCropYuccaFruitFrozen,items,Food,newKey,"Frozen Yucca Fruit",,,,,
foodCropPumpkinFrozen,items,Food,newKey,"Frozen Pumpkin",,,,,
Berry TeaFrozen,items,Food,newKey,"Frozen Berry Tea",,,,,
Iced Mixed TeaFrozen,items,Food,newKey,"Frozen Iced Mixed Tea",,,,,
Iced CoffeeFrozen,items,Food,newKey,"Frozen Iced Coffee",,,,,
Yucca ChipsFrozen,items,Food,newKey,"Frozen Yucca Chips",,,,,
HashbrownFrozen,items,Food,newKey,"Frozen Hashbrown",,,,,
Mashed PotatoFrozen,items,Food,newKey,"Frozen Mashed Potato",,,,,
Corn GritsFrozen,items,Food,newKey,"Frozen Corn Grits",,,,,
Blueberry JamFrozen,items,Food,newKey,"Frozen Blueberry Jam",,,,,
Yucca JamFrozen,items,Food,newKey,"Frozen Yucca Jam",,,,,
Egg SaladFrozen,items,Food,newKey,"Frozen Egg Salad",,,,,
Fried MeatFrozen,items,Food,newKey,"Frozen Fried Meat",,,,,
Corn ChipsFrozen,items,Food,newKey,"Frozen Corn Chips",,,,,
Blueberry Jam SandwichFrozen,items,Food,newKey,"Frozen Blueberry Jam Sandwich",,,,,
Yucca Jam SandwichFrozen,items,Food,newKey,"Frozen Yucca Jam Sandwich",,,,,
Clay Roasted MeatFrozen,items,Food,newKey,"Frozen Clay Roasted Meat",,,,,
Coffee CakeFrozen,items,Food,newKey,"Frozen Coffee Cake",,,,,
Mushroom PieFrozen,items,Food,newKey,"Frozen Mushroom Pie",,,,,
Meat and Beer PieFrozen,items,Food,newKey,"Frozen Meat and Beer Pie",,,,,
Fried MushroomsFrozen,items,Food,newKey,"Frozen Fried Mushrooms",,,,,
Fried EggFrozen,items,Food,newKey,"Frozen Fried Egg",,,,,
French ToastFrozen,items,Food,newKey,"Frozen French Toast",,,,,
Honey Glazed MeatFrozen,items,Food,newKey,"Frozen Honey Glazed Meat",,,,,
Blueberry SodaFrozen,items,Food,newKey,"Frozen Blueberry Soda",,,,,
Kvass SodaFrozen,items,Food,newKey,"Frozen Kvass Soda",,,,,
Carbonated WaterFrozen,items,Food,newKey,"Frozen Carbonated Water",,,,,
Distilled VodkaFrozen,items,Food,newKey,"Frozen Distilled Vodka",,,,,
Snowberry GinFrozen,items,Food,newKey,"Frozen Snowberry Gin",,,,,
Sugar ExtractFrozen,items,Food,newKey,"Frozen Sugar Extract",,,,,
Rock CandyFrozen,items,Food,newKey,"Frozen Rock Candy",,,,,
Blueberry CandyFrozen,items,Food,newKey,"Frozen Blueberry Candy",,,,,
Snowberry CandyFrozen,items,Food,newKey,"Frozen Snowberry Candy",,,,,
Plain FudgeFrozen,items,Food,newKey,"Frozen Plain Fudge",,,,,
Energy TabletFrozen,items,Food,newKey,"Frozen Energy Tablet",,,,,
Sponge CakeFrozen,items,Food,newKey,"Frozen Sponge Cake",,,,,
Blueberry Sponge CakeFrozen,items,Food,newKey,"Frozen Blueberry Sponge Cake",,,,,
Yucca Sponge CakeFrozen,items,Food,newKey,"Frozen Yucca Sponge Cake",,,,,
Custard PieFrozen,items,Food,newKey,"Frozen Custard Pie",,,,,
